Run,Event,Type1,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
148864,487668026,G,28.5105,11.7161,-8.50076,24.5623,14.4752,1.29923,-0.627676,1,T,5.06283,3.8965,3.21967,-0.268453,5.0546,-0.0530858,0.690572,-1,16.289
148864,487694058,G,14.6606,-7.69651,-1.15191,12.4242,7.78224,1.24712,-2.99303,-1,G,4.72814,3.42264,1.88161,2.66256,3.90575,0.637612,0.502655,1,11.3805
148864,487712858,G,24.086,5.39167,1.83661,-23.4026,5.6959,-2.12074,0.328311,1,T,5.12,1.75662,-1.1056,-4.67923,2.07559,-1.55195,-0.561752,-1,3.57349
148864,487746618,G,13.8952,0.700728,-3.92605,-13.3102,3.98809,-1.92009,-1.39417,1,G,10.0123,2.33093,-6.65388,-7.1083,7.05035,-0.887174,-1.23384,-1,5.79048
148864,487794090,G,9.84881,4.96409,2.63855,8.08602,5.62175,1.16007,0.488549,-1,G,5.4399,-5.10121,-1.86338,-0.294771,5.43088,-0.0542502,-2.79137,1,13.1309
148864,487802874,G,5.15144,4.07929,-2.28512,2.15958,4.67572,0.44685,-0.510623,1,G,4.70955,1.28554,-3.41414,2.97653,3.64815,0.745036,-1.21068,-1,3.09783
148864,487820938,G,25.7001,-0.0559419,5.73216,-25.0524,5.73243,-2.18081,1.58056,-1,G,5.25846,-2.56686,-3.49392,2.97388,4.33547,0.641113,-2.20441,-1,21.4262
148864,487930314,G,12.3148,4.98979,-0.210122,-11.2561,4.99421,-1.55171,-0.0420855,-1,G,12.1568,7.56234,0.911061,-9.47408,7.61702,-1.04372,0.119896,1,3.32723
148864,487935370,G,8.52575,3.50964,-0.834586,7.72419,3.60751,1.50503,-0.233462,1,G,10.9178,-9.36166,4.63348,3.17444,10.4456,0.29941,2.682,1,14.5118
148864,488001762,G,6.50707,4.41437,-2.79644,-3.87609,5.22559,-0.686535,-0.564678,-1,G,5.3097,2.74369,2.86068,3.53136,3.96375,0.802097,0.80627,1,9.3955
148864,488059162,G,7.4444,-2.78649,3.75079,-5.79439,4.67257,-1.04139,2.20974,1,G,7.0198,1.41739,-5.07712,4.63469,5.27125,0.793355,-1.29856,-1,14.2911
148864,488037418,G,70.6367,6.85565,-16.6367,-68.3063,17.9939,-2.04403,-1.17992,-1,T,3.51755,0.753592,-0.00678471,-3.43424,0.753623,-2.22163,-0.00900292,1,4.15195
